County,Station Name,Latitude,Longitude,Elevation,Year,Month,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing.1,Number Estimated.1,Avg Temp,Number Missing.2,Number Estimated.2,Avg Bare Soil Temp,Number Missing.3,Number Estimated.3,Avg Turf Soil Temp,Number Missing.4,Number Estimated.4,Avg Wind Speed,Number Missing.5,Number Estimated.5,Max Wind Speed,Number Missing.6,Number Estimated.6,Total Solar Rad,Number Missing.7,Number Estimated.7,Avg Penman PET,Number Missing.8,Number Estimated.8,Total Penman PET,Number Missing.9,Number Estimated.9,Total Rainfall,Number Missing.10,Number Estimated.10,Avg Dew Point,Number Missing.11,Number Estimated.11,Avg Wind Chill,Number Missing.12,Number Estimated.12
Slope,Amidon,46.48844,-103.31629,2882,2020,7,83.777,0,0,53.352,0,0,68.564,0,0,70.386,0,0,67.89,0,0,6.711,0,0,24.239,0,0,605.955,0,0,0.287,0,0,8.884,0,0,2.462,0,0,55.323,0,0,69.036,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,8,86.178,0,0,51.999,0,0,69.089,0,0,69.289,0,0,67.698,0,0,6.706,0,0,22.411,0,0,543.032,0,0,0.301,0,0,9.322,0,0,1.36,0,0,50.809,0,0,69.661,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,9,72.378,0,0,42.684,0,0,57.531,0,0,57.915,0,0,58.697,0,0,8.011,0,0,24.883,0,0,392.555,0,0,0.231,0,0,6.918,0,0,1.361,0,0,39.573,0,0,56.339,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,10,49.35,0,0,25.88,0,0,37.615,0,0,43.583,0,0,46.254,0,0,8.519,0,0,24.112,0,0,232.4,0,0,0.111,0,0,3.452,0,0,0.85,0,0,27.124,0,0,32.599,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,11,47.921,0,0,23.523,0,0,35.722,0,0,33.81,0,0,37.956,0,0,9.06,0,0,25.149,0,0,173.781,0,0,0.098,0,0,2.93,0,0,,30,0,21.565,0,0,28.655,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,12,40.183,0,0,15.865,0,0,28.025,0,0,29.334,0,0,32.592,0,0,8.373,0,0,24.289,0,0,117.347,0,0,0.07,0,0,2.167,0,0,,31,0,17.378,0,0,20.386,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,1,35.089,0,0,16.263,0,0,25.676,0,0,29.277,0,0,30.88,0,0,9.085,0,0,24.867,0,0,135.232,0,0,0.052,0,0,1.627,0,0,,31,0,17.709,0,0,17.082,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,2,21.497,0,0,-2.529,0,0,9.484,0,0,21.897,0,0,23.413,0,0,8.425,0,0,24.017,0,0,233.206,0,0,0.052,0,0,1.464,0,0,,28,0,1.056,0,0,-0.917,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,3,51.513,0,0,21.797,0,0,36.655,0,0,34.843,0,0,35.148,0,0,8.894,0,0,24.931,0,0,344.719,0,0,0.153,0,0,4.757,0,0,,31,0,21.934,0,0,31.1,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,4,55.349,0,0,26.754,0,0,41.051,0,0,43.937,0,0,43.297,0,0,8.647,0,0,24.956,0,0,423.786,0,0,0.2,0,0,5.992,0,0,0.31,0,0,22.847,0,0,37.153,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,5,64.208,0,0,37.57,0,0,50.889,0,0,52.424,0,0,51.193,0,0,8.701,0,0,25.181,0,0,472.444,0,0,0.219,0,0,6.803,0,0,4.393,0,0,36.496,0,0,48.895,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,6,83.219,0,0,49.697,0,0,66.458,0,0,67.508,0,0,62.912,0,0,8.106,0,0,27.018,0,0,647.601,0,0,0.337,0,0,10.103,0,0,0.77,0,0,49.745,0,0,67.997,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,7,90.791,0,0,59.051,0,0,74.921,0,0,72.038,0,0,68.711,0,0,7.723,0,0,24.995,0,0,537.76,0,0,0.332,0,0,10.307,0,0,1.951,0,0,55.038,0,0,74.816,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,8,84.457,0,0,52.223,0,0,68.34,0,0,67.893,0,0,66.116,0,0,7.653,0,0,24.643,0,0,456.496,0,0,0.274,0,0,8.482,0,0,0.84,0,0,48.838,0,0,69.024,0,0
Slope,Amidon,46.48844,-103.31629,2882,2021,9,78.893,0,0,46.802,0,0,62.848,0,0,60.576,0,1,59.604,0,1,7.432,0,1,23.253,0,0,388.546,0,2,0.256,0,0,7.693,0,0,0.371,0,0,40.05,0,1,62.68,0,1
Slope,Amidon,46.48844,-103.31629,2882,2021,10,59.896,0,0,35.701,0,0,47.799,0,0,47.316,0,1,48.5,0,1,9.328,0,1,23.959,0,0,250.584,0,1,0.135,0,0,4.185,0,0,3.025,0,0,33.41,0,1,43.104,0,1
Slope,Amidon,46.48844,-103.31629,2882,2021,11,48.543,0,0,23.947,0,0,36.245,0,0,36.65,0,1,38.128,0,1,9.222,0,1,25.078,0,0,177.853,0,1,0.09,0,0,2.695,0,0,,30,0,23.62,0,1,30.516,0,1
Slope,Amidon,46.48844,-103.31629,2882,2021,12,30.482,0,0,8.695,0,0,19.589,0,0,31.406,0,0,32.628,0,0,9.439,0,0,25.928,0,0,124.234,0,0,0.053,0,0,1.657,0,0,,31,0,11.036,0,0,8.818,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,1,32.09,0,0,7.932,0,0,20.011,0,0,25.72,0,0,28.039,0,0,11.058,0,0,29.342,0,0,154.537,0,0,0.072,0,0,2.231,0,0,,31,0,12.11,0,0,8.571,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,2,30.192,0,0,5.744,0,0,17.968,0,0,25.771,0,0,26.475,0,0,11.47,0,0,27.832,0,0,249.115,0,0,0.095,0,0,2.665,0,0,,28,0,8.986,0,0,6.107,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,3,43.787,0,0,18.535,0,0,31.161,0,0,31.089,0,0,29.646,0,0,11.054,0,0,28.252,0,0,371.865,0,0,0.165,0,0,5.105,0,0,,31,0,17.559,0,0,21.723,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,4,42.955,0,3,24.02,0,3,33.488,0,3,33.927,0,5,33.43,0,4,13.311,0,4,32.359,0,3,462.325,0,3,0.154,0,0,4.622,0,0,3.64,0,3,24.492,0,4,24.148,0,4
Slope,Amidon,46.48844,-103.31629,2882,2022,5,63.247,0,0,38.65,0,0,50.949,0,0,50.354,0,0,49.664,0,0,9.719,0,0,27.629,0,0,516.408,0,0,0.25,0,0,7.738,0,0,2.677,0,0,38.625,0,0,48.74,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,6,73.135,0,0,49.261,0,0,61.198,0,0,63.074,0,0,60.959,0,0,7.873,0,0,25.488,0,0,581.614,0,0,0.278,0,0,8.326,0,0,3.874,0,0,50.529,0,0,60.973,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,7,83.392,0,0,56.16,0,0,69.776,0,0,73.175,0,1,69.891,0,1,6.589,0,1,24.498,0,0,643.208,0,29,0.324,0,0,10.032,0,0,4.428,0,0,58.426,0,1,70.325,0,1
Slope,Amidon,46.48844,-103.31629,2882,2022,8,86.222,0,0,55.168,0,0,70.695,0,0,70.265,0,0,67.419,0,0,6.141,0,0,20.799,0,0,513.958,0,0,0.316,0,0,9.809,0,0,0.564,0,0,53.323,0,0,70.468,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,9,77.901,0,0,45.59,0,0,61.745,0,0,61.642,0,0,60.627,0,0,6.891,0,0,22.553,0,0,399.378,0,0,0.272,0,0,8.157,0,0,0.116,0,0,42.133,0,0,60.626,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,10,59.49,0,0,34.061,0,0,46.776,0,0,46.547,0,0,49.165,0,0,8.39,0,0,23.796,0,0,259.983,0,0,0.164,0,0,5.089,0,0,0.615,0,0,32.073,0,0,43.391,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,11,32.799,0,0,13.67,0,0,23.235,0,0,34.685,0,0,37.708,0,0,10.522,0,0,25.795,0,0,157.555,0,0,0.08,0,0,2.393,0,0,,30,0,14.593,0,0,14.034,0,0
Slope,Amidon,46.48844,-103.31629,2882,2022,12,19.686,0,1,1.191,0,1,10.439,0,1,32.074,0,0,32.684,0,0,10.142,0,0,23.861,0,1,127.245,0,0,0.035,0,0,1.099,0,0,,31,0,5.59,0,0,-1.846,0,0
Slope,Amidon,46.48844,-103.31629,2882,2023,1,29.25,0,0,11.453,0,0,20.352,0,0,31.927,0,0,32.196,0,0,6.834,0,0,19.127,0,0,157.47,0,0,0.02,0,0,0.61,0,0,0.251,0,0,16.649,0,0,13.555,0,0
Slope,Amidon,46.48844,-103.31629,2882,2023,2,31.449,0,0,12.086,0,0,21.767,0,0,31.889,0,0,32.23,0,0,9.371,0,0,23.635,0,0,267.192,0,0,0.051,0,0,1.427,0,0,0.731,0,0,14.192,0,0,12.403,0,0
Slope,Amidon,46.48844,-103.31629,2882,2023,3,26.13,0,0,9.634,0,0,17.882,0,0,31.869,0,0,31.872,0,0,10.04,0,0,23.476,0,0,389.246,0,0,0.041,0,0,1.275,0,0,1.309,0,0,13.93,0,0,7.205,0,0
Slope,Amidon,46.48844,-103.31629,2882,2023,4,50.72,0,0,26.841,0,0,38.781,0,0,38.342,0,0,36.76,0,0,10.33,0,0,26.193,0,0,465.979,0,0,0.158,0,0,4.736,0,0,0.222,0,0,25.136,0,0,32.486,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1993,8,73.519,0,17,50.418,0,18,61.969,0,18,63.909,0,18,66.844,0,5,8.58,0,18,23.991,0,0,520.691,0,18,0.245,0,0,7.59,0,0,0.764,0,18,50.218,0,0,62.056,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1993,9,65.784,0,0,38.614,0,0,52.199,0,0,55.398,0,0,56.296,0,0,9.21,0,0,24.077,0,0,381.563,0,0,0.212,0,0,6.362,0,0,0.19,0,0,35.552,0,0,50.289,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1993,10,55.799,0,0,29.873,0,0,42.836,0,0,44.438,0,0,45.068,0,0,9.068,0,0,21.898,0,0,245.773,0,0,0.137,0,0,4.242,0,0,0.41,0,0,28.563,0,0,37.545,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1993,11,35.431,0,0,15.027,0,0,25.229,0,0,32.454,0,0,32.135,0,0,10.154,0,3,22.649,0,3,147.834,0,0,0.066,0,0,1.977,0,0,,30,0,16.065,0,0,14.804,0,3
Golden Valley,Beach,46.78941,-103.96629,2901,1993,12,33.232,0,0,16.465,0,0,24.849,0,0,31.286,0,0,30.11,0,0,10.196,0,0,24.222,0,0,111.385,0,0,0.037,0,0,1.141,0,0,,31,0,20.011,0,0,16.216,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,1,20.104,0,0,1.091,0,0,10.598,0,0,26.936,0,0,24.02,0,0,9.095,0,16,21.503,0,15,142.313,0,0,0.028,0,0,0.87,0,0,,31,0,4.813,0,2,-2.327,0,17
Golden Valley,Beach,46.78941,-103.96629,2901,1994,2,19.642,0,0,0.593,0,2,10.117,0,2,23.793,0,0,21.231,0,0,10.759,0,8,24.66,0,13,256.737,0,0,0.044,0,0,1.233,0,0,,28,0,2.066,0,0,-5.29,0,8
Golden Valley,Beach,46.78941,-103.96629,2901,1994,3,46.045,0,0,23.243,0,0,34.644,0,0,32.239,0,0,33.257,0,0,10.36,0,0,25.055,0,0,374.31,0,0,0.141,0,0,4.357,0,0,,31,0,22.291,0,1,26.675,0,1
Golden Valley,Beach,46.78941,-103.96629,2901,1994,4,55.23,0,0,29.708,0,6,42.47,0,6,43.171,0,0,44.876,0,0,10.187,0,0,25.188,0,0,456.161,0,0,0.196,0,0,5.891,0,0,1.15,0,0,28.312,0,1,37.072,0,1
Golden Valley,Beach,46.78941,-103.96629,2901,1994,5,69.622,0,0,42.796,0,0,56.209,0,0,58.735,0,0,59.654,0,0,9.993,0,0,25.46,0,0,587.985,0,0,0.293,0,0,9.073,0,0,0.76,0,0,41.137,0,0,55.81,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,6,73.863,0,0,50.983,0,0,62.423,0,0,65.253,0,0,66.343,0,0,9.702,0,0,26.203,0,0,532.75,0,0,0.244,0,0,7.332,0,0,5.1,0,0,52.194,0,0,62.359,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,7,80.032,0,0,52.755,0,0,66.393,0,0,72.039,0,0,73.184,0,0,7.538,0,0,21.736,0,0,607.399,0,0,0.287,0,0,8.905,0,0,0.85,0,0,51.629,0,0,66.551,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,8,82.485,0,0,52.823,0,0,67.654,0,0,72.355,0,0,73.897,0,0,7.784,0,0,23.043,0,0,495.684,0,0,0.282,0,0,8.749,0,0,0.23,0,0,49.575,0,0,67.355,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,9,74.767,0,0,46.894,0,0,60.831,0,0,62.806,0,0,63.511,0,0,9.332,0,0,23.683,0,0,378.811,0,0,0.236,0,0,7.072,0,0,0.71,0,0,41.856,0,0,59.512,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1994,10,56.029,0,0,35.614,0,0,45.822,0,0,46.106,0,0,47.056,0,0,10.509,0,4,23.44,0,5,196.627,0,0,0.095,0,0,2.931,0,0,3.17,0,0,37.235,0,0,40.636,0,4
Golden Valley,Beach,46.78941,-103.96629,2901,1994,11,39.276,0,0,19.311,0,0,29.294,0,0,33.93,0,0,34.317,0,0,9.847,0,9,21.702,0,7,144.041,0,0,0.055,0,0,1.663,0,0,,30,0,21.556,0,0,19.928,0,9
Golden Valley,Beach,46.78941,-103.96629,2901,1994,12,34.175,0,0,14.29,0,0,24.233,0,0,31.001,0,0,30.654,0,0,8.633,0,0,20.638,0,0,113.532,0,0,0.035,0,0,1.093,0,0,,31,0,18.112,0,0,14.766,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,1,29.744,0,0,10.007,0,0,19.876,0,0,28.202,0,0,25.267,0,0,7.83,0,6,17.476,0,5,136.99,0,0,0.025,0,0,0.769,0,0,,31,0,16.018,0,0,9.83,0,6
Golden Valley,Beach,46.78941,-103.96629,2901,1995,2,37.076,0,0,14.949,0,0,26.012,0,0,27.023,0,0,26.701,0,1,10.305,0,0,25.34,0,0,240.569,0,0,0.077,0,0,2.162,0,0,,28,0,17.407,0,0,16.003,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,3,38.621,0,2,17.223,0,5,27.922,0,5,32.231,0,0,32.497,0,0,10.949,0,0,24.234,0,0,313.62,0,0,0.081,0,0,2.523,0,0,,31,0,21.828,0,0,18.346,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,4,47.72,0,0,26.484,0,1,37.102,0,1,38.392,0,0,39.612,0,0,10.04,0,0,24.423,0,0,372.185,0,0,0.127,0,0,3.821,0,0,1.06,0,0,28.222,0,0,30.326,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,5,61.662,0,0,38.552,0,5,50.107,0,5,51.318,0,0,51.528,0,0,9.998,0,0,24.546,0,0,450.295,0,1,0.172,0,0,5.346,0,0,2.85,0,0,42.203,0,0,46.751,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,6,76.318,0,0,50.499,0,2,63.409,0,2,66.804,0,0,67.069,0,0,8.626,0,0,23.837,0,0,582.584,0,0,0.261,0,0,7.82,0,0,0.59,0,0,53.495,0,0,62.706,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,7,81.5,0,0,54.624,0,0,68.062,0,0,71.912,0,0,72.546,0,0,7.32,0,0,24.037,0,0,580.547,0,0,0.274,0,0,8.509,0,0,1.8,0,0,56.351,0,0,67.861,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,8,85.419,0,0,54.869,0,0,70.144,0,0,71.759,0,0,72.316,0,0,9.519,0,0,26.917,0,0,540.264,0,0,0.317,0,0,9.825,0,0,2.64,0,0,54.15,0,0,70.193,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,9,70.501,0,0,42.772,0,0,56.637,0,0,59.558,0,0,60.22,0,0,7.884,0,0,21.973,0,0,398.705,0,0,0.209,0,0,6.274,0,0,0.21,0,0,40.124,0,0,54.912,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,10,54.416,0,0,33.826,0,0,44.122,0,0,44.868,0,0,46.848,0,0,9.886,0,0,24.835,0,0,237.557,0,0,0.105,0,0,3.263,0,0,1.25,0,0,34.855,0,0,38.552,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,11,39.506,0,0,18.143,0,0,28.825,0,0,33.352,0,0,33.437,0,0,9.881,0,0,22.977,0,0,155.209,0,0,0.045,0,0,1.336,0,0,,30,0,23.854,0,0,19.107,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1995,12,27.763,0,0,8.377,0,0,18.07,0,0,27.702,0,0,29.13,0,0,9.254,0,0,22.024,0,0,111.663,0,0,0.028,0,0,0.863,0,0,,31,0,14.029,0,0,7.174,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,1,17.291,0,0,-2.957,0,0,7.167,0,0,26.416,0,0,25.716,0,0,9.95,0,0,21.424,0,0,154.152,0,0,0.029,0,0,0.885,0,0,,31,0,2.654,0,0,-7.042,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,2,32.617,0,0,12.899,0,1,22.758,0,1,28.779,0,0,27.904,0,0,11.54,0,0,26.022,0,0,234.935,0,0,0.06,0,0,1.735,0,0,,29,0,15.843,0,1,10.48,0,1
Golden Valley,Beach,46.78941,-103.96629,2901,1996,3,29.282,0,3,10.406,0,11,19.844,0,11,31.321,0,0,30.202,0,0,10.509,0,0,23.875,0,0,365.576,0,0,0.059,0,0,1.844,0,0,,31,0,15.635,0,0,8.469,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,4,52.043,0,0,28.297,0,1,40.171,0,1,37.289,0,0,37.924,0,0,10.422,0,0,26.597,0,0,451.364,0,0,0.154,0,0,4.634,0,0,0.7,0,2,31.71,0,0,33.563,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,5,57.213,0,1,38.798,0,4,48.006,0,4,49.623,0,0,49.233,0,0,9.107,0,0,24.188,0,0,383.507,0,0,0.132,0,0,4.08,0,0,2.58,0,0,42.615,0,0,44.602,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,6,77.023,0,0,52.205,0,0,64.614,0,0,66.643,0,0,63.797,0,0,9.841,0,0,26.287,0,0,609.843,0,0,0.272,0,0,8.152,0,0,1.8,0,0,54.451,0,0,64.179,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,7,80.433,0,0,54.321,0,0,67.377,0,0,72.938,0,0,71.383,0,0,8.524,0,0,24.917,0,0,607.727,0,0,0.285,0,0,8.833,0,0,2.1,0,0,55.614,0,0,67.272,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,8,86.433,0,0,53.855,0,0,70.144,0,0,71.184,0,0,70.021,0,0,7.839,0,0,22.454,0,0,536.378,0,0,0.315,0,0,9.774,0,0,1.13,0,0,51.409,0,0,70.108,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,9,67.641,0,0,43.781,0,0,55.711,0,0,58.751,0,0,60.424,0,0,10.068,0,0,25.869,0,0,348.625,0,0,0.175,0,0,5.252,0,0,2.3,0,0,43.885,0,1,53.245,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,10,54.809,0,0,30.38,0,0,42.595,0,0,43.994,0,0,45.244,0,0,10.303,0,0,24.789,0,0,244.368,0,0,0.113,0,0,3.504,0,0,0.5,0,0,33.177,0,0,36.587,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,11,25.802,0,0,11.305,0,0,18.554,0,0,32.619,0,0,33.828,0,0,9.57,0,0,21.352,0,0,138.82,0,0,0.02,0,0,0.6,0,0,,30,0,16.179,0,0,7.727,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1996,12,18.903,0,0,1.74,0,0,10.322,0,0,31.58,0,0,32.644,0,0,11.127,0,0,23.112,0,0,120.068,0,0,0.016,0,0,0.481,0,0,,31,0,8.566,0,0,-3.127,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,1,19.383,0,0,0.486,0,0,9.935,0,0,29.482,0,0,29.199,0,0,11.984,0,0,25.61,0,0,157.322,0,0,0.021,0,0,0.643,0,0,,31,0,6.409,0,0,-6.207,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,2,33.772,0,0,17.528,0,0,25.65,0,0,30.458,0,0,30.009,0,0,9.496,0,0,22.127,0,0,200.695,0,0,0.033,0,0,0.937,0,0,,28,0,23.184,0,0,15.956,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,3,42.32,0,0,18.896,0,3,30.608,0,3,31.853,0,0,29.856,0,0,10.681,0,0,25.287,0,0,335.055,0,0,0.103,0,0,3.189,0,0,,31,0,24.356,0,0,21.937,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,4,47.019,0,3,27.666,0,8,37.342,0,8,38.697,0,0,36.114,0,0,10.823,0,0,25.474,0,0,454.316,0,0,0.129,0,0,3.861,0,0,1.6,0,1,29.425,0,0,29.235,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,5,64.262,0,0,39.647,0,3,51.955,0,3,54.045,0,0,49.904,0,0,11.374,0,0,28.131,0,0,526.893,0,0,0.232,0,0,7.187,0,0,0.93,0,0,40.297,0,0,49.518,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,6,79.889,0,0,53.461,0,0,66.675,0,0,69.47,0,0,65.846,0,0,9.283,0,0,27.67,0,0,605.646,0,0,0.304,0,0,9.117,0,0,2.27,0,0,53.351,0,0,66.602,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,7,78.956,0,0,55.703,0,0,67.33,0,0,70.012,0,0,68.263,0,0,7.775,0,0,21.886,0,0,558.938,0,0,0.247,0,0,7.651,0,0,5.29,0,0,56.591,0,1,66.923,0,1
Golden Valley,Beach,46.78941,-103.96629,2901,1997,8,82.772,0,0,54.104,0,1,68.438,0,1,69.784,0,0,68.631,0,0,7.57,0,0,22.153,0,0,500.511,0,0,0.281,0,0,8.723,0,0,1.7,0,0,50.755,0,1,68.37,0,1
Golden Valley,Beach,46.78941,-103.96629,2901,1997,9,75.228,0,0,46.786,0,0,61.007,0,0,60.938,0,0,60.644,0,0,9.378,0,0,24.125,0,0,419.161,0,0,0.259,0,0,7.774,0,0,0.62,0,0,40.907,0,0,59.972,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,10,58.623,0,0,32.939,0,0,45.781,0,0,46.018,0,0,47.684,0,0,9.643,0,0,23.678,0,0,278.643,0,0,0.155,0,0,4.807,0,0,0.7,0,0,29.957,0,0,40.931,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,11,41.227,0,0,19.729,0,0,30.479,0,0,31.571,0,0,33.485,0,0,9.023,0,0,21.424,0,0,165.336,0,0,0.065,0,0,1.958,0,0,,30,0,21.033,0,0,21.951,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1997,12,36.456,0,0,17.456,0,0,26.956,0,0,27.779,0,0,28.919,0,0,9.551,0,0,21.506,0,0,125.68,0,0,0.065,0,0,2.03,0,0,,31,0,16.556,0,0,17.61,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1998,1,27.98,0,0,5.944,0,0,16.962,0,0,21.849,0,0,22.886,0,0,8.604,0,5,20.02,0,5,147.442,0,0,0.044,0,0,1.368,0,0,,31,0,9.517,0,1,5.096,0,6
Golden Valley,Beach,46.78941,-103.96629,2901,1998,2,39.546,0,0,21.971,0,0,30.759,0,0,30.797,0,0,31.251,0,0,10.551,0,0,22.818,0,0,188.071,0,0,0.05,0,0,1.399,0,0,,28,0,25.267,0,0,21.376,0,0
Golden Valley,Beach,46.78941,-103.96629,2901,1998,3,29.856,0,1,13.927,0,4,21.891,0,4,31.177,0,0,29.286,0,0,8.917,0,2,19.331,0,0,375.636,0,0,0.056,0,0,1.738,0,0,,31,0,17.867,0,0,12.482,0,0
